day,type,holiday,from
2019.01.01,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2019.01.02,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2019.01.03,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2019.01.04,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2019.01.05,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2019.01.06,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2019.01.07,1,Рождество Христово,
2019.01.08,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2019.02.22,2,,
2019.02.23,1,День защитника Отечества,
2019.03.07,2,,
2019.03.08,1,Международный женский день,
2019.04.30,2,,
2019.05.01,1,Праздник Весны и Труда,
2019.05.02,1,,
2019.05.03,1,,
2019.05.08,2,,
2019.05.09,1,День Победы,
2019.05.10,1,,
2019.06.11,2,,
2019.06.12,1,День России,
2019.11.04,1,День народного единства,
2019.12.31,2,,
2020.01.01,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2020.01.02,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2020.01.03,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2020.01.04,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2020.01.05,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2020.01.06,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2020.01.07,1,Рождество Христово,
2020.01.08,1,Новогодние каникулы (в ред. Федерального закона от 23.04.2012 № 35-ФЗ),
2020.02.23,1,День защитника Отечества,
2020.02.24,1,,
2020.03.08,1,Международный женский день,
2020.03.09,1,,
2020.03.30,1,Нерабочая неделя (Указ Президента от 25.03.2020 №206),
